date_slot,specialization,doctor_name,is_available,patient_to_attend
05-08-2024 08:00,general_dentist,john doe,TRUE,
05-08-2024 08:30,general_dentist,john doe,FALSE,1000082
05-08-2024 09:00,general_dentist,john doe,FALSE,1000048
05-08-2024 09:30,general_dentist,john doe,FALSE,1000036
05-08-2024 10:00,general_dentist,john doe,FALSE,1000024
05-08-2024 10:30,general_dentist,john doe,FALSE,1000011
05-08-2024 11:00,general_dentist,john doe,FALSE,1000061
05-08-2024 11:30,general_dentist,john doe,FALSE,1000062
05-08-2024 12:00,general_dentist,john doe,FALSE,1000046
05-08-2024 12:30,general_dentist,john doe,FALSE,1000057
05-08-2024 13:00,general_dentist,john doe,FALSE,1000088
05-08-2024 13:30,general_dentist,john doe,FALSE,1000090
05-08-2024 14:00,general_dentist,john doe,FALSE,1000069
05-08-2024 14:30,general_dentist,john doe,FALSE,1000065
05-08-2024 15:00,general_dentist,john doe,FALSE,1000026
05-08-2024 15:30,general_dentist,john doe,FALSE,1000006
05-08-2024 16:00,general_dentist,john doe,FALSE,1000029
05-08-2024 16:30,general_dentist,john doe,FALSE,1000073
06-08-2024 08:00,general_dentist,john doe,FALSE,1000018
06-08-2024 08:30,general_dentist,john doe,FALSE,1000048
06-08-2024 09:00,general_dentist,john doe,FALSE,1000085
06-08-2024 09:30,general_dentist,john doe,FALSE,1000074
06-08-2024 10:00,general_dentist,john doe,FALSE,1000094
06-08-2024 10:30,general_dentist,john doe,FALSE,1000047
06-08-2024 11:00,general_dentist,john doe,FALSE,1000087
06-08-2024 11:30,general_dentist,john doe,FALSE,1000071
06-08-2024 12:00,general_dentist,john doe,FALSE,1000059
06-08-2024 12:30,general_dentist,john doe,FALSE,1000073
06-08-2024 13:00,general_dentist,john doe,FALSE,1000042
06-08-2024 13:30,general_dentist,john doe,FALSE,1000060
06-08-2024 14:00,general_dentist,john doe,FALSE,1000033
06-08-2024 14:30,general_dentist,john doe,FALSE,1000067
06-08-2024 15:00,general_dentist,john doe,FALSE,1000039
06-08-2024 15:30,general_dentist,john doe,FALSE,1000071
06-08-2024 16:00,general_dentist,john doe,FALSE,1000047
06-08-2024 16:30,general_dentist,john doe,FALSE,1000043
07-08-2024 08:00,general_dentist,john doe,TRUE,
07-08-2024 08:30,general_dentist,john doe,TRUE,
07-08-2024 09:00,general_dentist,john doe,FALSE,1000097
07-08-2024 09:30,general_dentist,john doe,TRUE,
07-08-2024 10:00,general_dentist,john doe,FALSE,1000023
07-08-2024 10:30,general_dentist,john doe,TRUE,
07-08-2024 11:00,general_dentist,john doe,TRUE,
07-08-2024 11:30,general_dentist,john doe,TRUE,
07-08-2024 12:00,general_dentist,john doe,FALSE,1000073
07-08-2024 12:30,general_dentist,john doe,FALSE,1000004
07-08-2024 13:00,general_dentist,john doe,TRUE,
07-08-2024 13:30,general_dentist,john doe,FALSE,1000002
07-08-2024 14:00,general_dentist,john doe,TRUE,
07-08-2024 14:30,general_dentist,john doe,TRUE,
07-08-2024 15:00,general_dentist,john doe,TRUE,
07-08-2024 15:30,general_dentist,john doe,FALSE,1000044
07-08-2024 16:00,general_dentist,john doe,TRUE,
07-08-2024 16:30,general_dentist,john doe,TRUE,
08-08-2024 08:00,general_dentist,john doe,TRUE,
08-08-2024 08:30,general_dentist,john doe,FALSE,1000086
08-08-2024 09:00,general_dentist,john doe,TRUE,
08-08-2024 09:30,general_dentist,john doe,TRUE,
08-08-2024 10:00,general_dentist,john doe,TRUE,
08-08-2024 10:30,general_dentist,john doe,FALSE,1000030
08-08-2024 11:00,general_dentist,john doe,FALSE,1000065
08-08-2024 11:30,general_dentist,john doe,FALSE,1000083
08-08-2024 12:00,general_dentist,john doe,TRUE,
08-08-2024 12:30,general_dentist,john doe,FALSE,1000005
08-08-2024 13:00,general_dentist,john doe,FALSE,1000054
08-08-2024 13:30,general_dentist,john doe,TRUE,
08-08-2024 14:00,general_dentist,john doe,TRUE,
08-08-2024 14:30,general_dentist,john doe,FALSE,1000057
08-08-2024 15:00,general_dentist,john doe,TRUE,
08-08-2024 15:30,general_dentist,john doe,TRUE,
08-08-2024 16:00,general_dentist,john doe,TRUE,
08-08-2024 16:30,general_dentist,john doe,TRUE,
09-08-2024 08:00,general_dentist,john doe,FALSE,1000062
09-08-2024 08:30,general_dentist,john doe,FALSE,1000068
09-08-2024 09:00,general_dentist,john doe,TRUE,
09-08-2024 09:30,general_dentist,john doe,FALSE,1000016
09-08-2024 10:00,general_dentist,john doe,FALSE,1000069
09-08-2024 10:30,general_dentist,john doe,TRUE,
09-08-2024 11:00,general_dentist,john doe,TRUE,
09-08-2024 11:30,general_dentist,john doe,TRUE,
09-08-2024 12:00,general_dentist,john doe,TRUE,
09-08-2024 12:30,general_dentist,john doe,FALSE,1000046
09-08-2024 13:00,general_dentist,john doe,TRUE,
09-08-2024 13:30,general_dentist,john doe,TRUE,
09-08-2024 14:00,general_dentist,john doe,TRUE,
09-08-2024 14:30,general_dentist,john doe,TRUE,
09-08-2024 15:00,general_dentist,john doe,TRUE,
09-08-2024 15:30,general_dentist,john doe,TRUE,
09-08-2024 16:00,general_dentist,john doe,TRUE,
09-08-2024 16:30,general_dentist,john doe,TRUE,
10-08-2024 09:00,general_dentist,john doe,TRUE,
10-08-2024 09:30,general_dentist,john doe,FALSE,1000032
10-08-2024 10:00,general_dentist,john doe,FALSE,1000046
10-08-2024 10:30,general_dentist,john doe,TRUE,
10-08-2024 11:00,general_dentist,john doe,TRUE,
10-08-2024 11:30,general_dentist,john doe,TRUE,
10-08-2024 12:00,general_dentist,john doe,TRUE,
10-08-2024 12:30,general_dentist,john doe,TRUE,
12-08-2024 08:00,general_dentist,john doe,TRUE,
12-08-2024 08:30,general_dentist,john doe,TRUE,
12-08-2024 09:00,general_dentist,john doe,FALSE,1000093
12-08-2024 09:30,general_dentist,john doe,FALSE,1000018
12-08-2024 10:00,general_dentist,john doe,TRUE,
12-08-2024 10:30,general_dentist,john doe,FALSE,1000081
12-08-2024 11:00,general_dentist,john doe,TRUE,
12-08-2024 11:30,general_dentist,john doe,FALSE,1000087
12-08-2024 12:00,general_dentist,john doe,TRUE,
12-08-2024 12:30,general_dentist,john doe,TRUE,
12-08-2024 13:00,general_dentist,john doe,TRUE,
12-08-2024 13:30,general_dentist,john doe,TRUE,
12-08-2024 14:00,general_dentist,john doe,FALSE,1000079
12-08-2024 14:30,general_dentist,john doe,TRUE,
12-08-2024 15:00,general_dentist,john doe,FALSE,1000083
12-08-2024 15:30,general_dentist,john doe,FALSE,1000065
12-08-2024 16:00,general_dentist,john doe,TRUE,
12-08-2024 16:30,general_dentist,john doe,TRUE,
13-08-2024 08:00,general_dentist,john doe,FALSE,1000019
